id,title,original_language,overview,poster_path,genre_ids,popularity,release_date,vote_average,vote_count
612835,Salacia,en,"Tourmaline is an experimental portraitist whose subject is Black trans women. This impressionistic piece concerns Mary Jones, who worked at a New York brothel in the early nineteenth century and was described as a “man-monster” in a tabloid-style lithograph that was published after her arrest, in 1836, for robbery.",/uJhj9QCjOTqHFJttguNlvLbnDwU.jpg,[36],0.636,2019-07-03,1.0,1
495226,Atlantic is a Sea of Bones,en,"Atlantic is a Sea of Bones is a short film drawing from the Lucille Clifton poem of the same name that follows Egyptt LaBejia, an NYC based performer through the 80s, 90s, and 2000's in NYC. The haunting and otherwordly film set to an original score features small every day acts of refusal, resistance, and existence—such as performance and self expression—that have a tremendous impact on the world. The film reveals how the historical and systemic violence, like the killing and policing of black queer and trans life, continue to haunt our contemporary landscapes and is inextricably linked to the ongoing AIDS epidemic and the black queer/trans spaces shaped so intimately by HIV/AIDS, including the spaces where we come together and make life together: public spaces and nightlife spaces.",/yASRIqUBAmrSfU7QH8ogPOBa6PU.jpg,[],1.4,2017-12-03,0.0,0
163316,Wildness,en,"Rooted in the tropical underground of Los Angeles nightlife, Wildness is a portrait of the Silver Platter, a historic bar that has been home to Latin/LGBT immigrant communities since 1963. With a magical-realist flourish the bar itself becomes a character, narrating what happens when a weekly party (organized by Director Wu Tsang, DJs NGUZUNGUZU, and Total Freedom) called Wildness explodes into creativity and conflict. What does ""safe space"" mean? Who needs it? And how does it differ among us? At the Silver Platter, the search for answers creates coalitions across generations.",/rKWhKAQNZwsdksPhCNrXZhJ0ciV.jpg,"[99, 36]",0.6,2012-02-23,6.8,4
657765,You're Dead to Me,en,"Andrea, a grieving Chicana mother, confronts an uninvited family member before her Día de los Muertos celebration. By night's end, death offers her a choice that she couldn't make in life.",/l41RPlybZBfoFmsZKHBV70V1dWF.jpg,[],1.543,2013-07-14,1.5,2
741415,Duilian,cn,"Inspired by the untold personal story of the 19th-century Chinese poet and revolutionary Qiu Jin, Wu Tsang brings to life, subverts, and re-enacts the lesser-known romance and friendship with calligrapher Wu Zhiying. Set in contemporary Hong Kong, the film shifts between time and space, past and present, fact and fiction through Tsang's continued exploration of language and misinterpretation.",/aYkkE9D0SKy8ptw1K5Xzx6D8T7s.jpg,[10749],0.6,2016-03-12,0.0,0
653610,Disclosure,en,"An investigation of how Hollywood's fabled stories have deeply influenced how Americans feel about transgender people, and how transgender people have been taught to feel about themselves.",/2MB2FPNxdSlykbH7ghBltoBYnTH.jpg,[99],20.009,2020-06-19,7.98,125
603,The Matrix,en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,"[28, 878]",71.106,1999-03-31,8.212,24415
752,V for Vendetta,en,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,"[28, 53, 878]",36.661,2006-02-23,7.898,13849
604,The Matrix Reloaded,en,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",/9TGHDvWrqKBzwDxDodHYXEmOE6J.jpg,"[12, 28, 53, 878]",39.579,2003-05-15,7.0,10400
603,The Matrix,en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,"[28, 878]",71.106,1999-03-31,8.212,24415
